order_id,first_ingredients,second_ingredients,third_ingredients,fourth_ingredients,fifth_ingredients,sixth_ingredients,seventh_ingredients,eight_ingredients
25,Chicken, Pineapple, Tomatoes, Red Peppers,,,, Thai Sweet Chilli Sauce
26,Pepperoni, Mushrooms, Red Onions, Red Peppers,,,, Bacon
26,Mushrooms, Tomatoes, Red Peppers, Green Peppers, Red Onions, Zucchini, Spinach, Garlic
27,Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions,,, Barbecue Sauce
27,Pepperoni, Mushrooms, Red Onions, Red Peppers,,,, Bacon
27,Spinach, Mushrooms, Red Onions, Feta Cheese,,,, Garlic
28,Chicken, Red Onions, Red Peppers, Mushrooms, Asiago Cheese,,, Alfredo Sauce
29,Spinach, Mushrooms, Tomatoes, Green Olives,,,, Feta Cheese
30,Chicken, Pineapple, Tomatoes, Red Peppers,,,, Thai Sweet Chilli Sauce
31,Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic
31,Mozzarella Cheese,,,,,,, Pepperoni
32,Bacon, Pepperoni, Italian Sausage,,,,, Chorizo Sausage
32,Spinach, Mushrooms, Tomatoes, Green Olives,,,, Feta Cheese
32,Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic,,, Oregano
32,Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives,,, Garlic
33,Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions,,, Barbecue Sauce
33,Spinach, Mushrooms, Tomatoes, Green Olives,,,, Feta Cheese
34,Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast,,, Red Onions
35,Spinach, Mushrooms, Tomatoes, Green Olives,,,, Feta Cheese
35,Pepperoni, Mushrooms,,,,,, Green Peppers
35,Mozzarella Cheese,,,,,,, Pepperoni
35,Chicken, Pineapple, Tomatoes, Red Peppers,,,, Thai Sweet Chilli Sauce
36,Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions,,, Barbecue Sauce
36,Pepperoni, Mushrooms, Red Onions, Red Peppers,,,, Bacon
37,Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives,,, Garlic
37,Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic
38,Sliced Ham, Pineapple,,,,,, Mozzarella Cheese
38,Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic,,, Oregano
39,Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives,,, Garlic
40,Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese,,,, Garlic
40,Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce
41,Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese,,,, Garlic
41,Spinach, Mushrooms, Tomatoes, Green Olives,,,, Feta Cheese
42,Bacon, Pepperoni, Italian Sausage,,,,, Chorizo Sausage
42,Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese,,, Garlic
42,Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic
42,Genoa Salami, Capocollo, Pepperoni, Tomatoes, Asiago Cheese,,, Garlic
43,Chicken, Red Onions, Red Peppers, Mushrooms, Asiago Cheese,,, Alfredo Sauce
43,Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives,,, Garlic
43,Genoa Salami, Capocollo, Pepperoni, Tomatoes, Asiago Cheese,,, Garlic
44,Spinach, Artichokes, Tomatoes, Sun-dried Tomatoes, Garlic,,, Pesto Sauce
45,Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese,,,, Garlic
45,Sliced Ham, Pineapple,,,,,, Mozzarella Cheese
45,Chicken, Pineapple, Tomatoes, Red Peppers,,,, Thai Sweet Chilli Sauce
46,Chicken, Tomatoes, Red Peppers, Spinach, Garlic,,, Pesto Sauce
46,Pepperoni, Mushrooms, Red Onions, Red Peppers,,,, Bacon
46,Chicken, Pineapple, Tomatoes, Red Peppers,,,, Thai Sweet Chilli Sauce
47,Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce
47,Mushrooms, Tomatoes, Red Peppers, Green Peppers, Red Onions, Zucchini, Spinach, Garlic
48,Chicken, Tomatoes, Red Peppers, Spinach, Garlic,,, Pesto Sauce
48,Spinach, Mushrooms, Tomatoes, Green Olives,,,, Feta Cheese
48,Prosciutto di San Daniele, Arugula,,,,,, Mozzarella Cheese
48,Capocollo, Tomatoes, Goat Cheese, Artichokes, Peperoncini verdi,,, Garlic
49,Coarse Sicilian Salami, Tomatoes, Green Olives, Luganega Sausage, Onions,,, Garlic
50,Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast,,, Red Onions
51,Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions,,, Barbecue Sauce
51,Pepperoni, Mushrooms,,,,,, Green Peppers
52,Sliced Ham, Pineapple,,,,,, Mozzarella Cheese
52,Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic
52,Capocollo, Tomatoes, Goat Cheese, Artichokes, Peperoncini verdi,,, Garlic
53,Pepperoni, Mushrooms,,,,,, Green Peppers
53,Spinach, Red Onions, Pepperoni, Tomatoes, Artichokes, Kalamata Olives, Garlic, Asiago Cheese
54,Prosciutto di San Daniele, Arugula,,,,,, Mozzarella Cheese
54,Chicken, Pineapple, Tomatoes, Red Peppers,,,, Thai Sweet Chilli Sauce
55,Genoa Salami, Capocollo, Pepperoni, Tomatoes, Asiago Cheese,,, Garlic
55,Capocollo, Tomatoes, Goat Cheese, Artichokes, Peperoncini verdi,,, Garlic
56,Pepperoni, Mushrooms, Red Onions, Red Peppers,,,, Bacon
56,Spinach, Artichokes, Kalamata Olives, Sun-dried Tomatoes, Feta Cheese, Plum Tomatoes,, Red Onions
56,Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce
57,Pepperoni, Mushrooms, Red Onions, Red Peppers,,,, Bacon
58,Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese,,, Garlic
58,Mozzarella Cheese,,,,,,, Pepperoni
59,Eggplant, Artichokes, Tomatoes, Zucchini, Red Peppers, Garlic,, Pesto Sauce
59,Pepperoni, Mushrooms,,,,,, Green Peppers
59,Mozzarella Cheese,,,,,,, Pepperoni
60,Chicken, Tomatoes, Red Peppers, Spinach, Garlic,,, Pesto Sauce
60,Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese,,,, Garlic
61,Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions,,, Barbecue Sauce
61,Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives,,, Garlic
62,Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions,,, Barbecue Sauce
62,Spinach, Red Onions, Pepperoni, Tomatoes, Artichokes, Kalamata Olives, Garlic, Asiago Cheese
63,Pepperoni, Mushrooms,,,,,, Green Peppers
64,Bacon, Pepperoni, Italian Sausage,,,,, Chorizo Sausage
65,Pepperoni, Mushrooms,,,,,, Green Peppers
65,Coarse Sicilian Salami, Tomatoes, Green Olives, Luganega Sausage, Onions,,, Garlic
65,Capocollo, Tomatoes, Goat Cheese, Artichokes, Peperoncini verdi,,, Garlic
65,Spinach, Red Onions, Pepperoni, Tomatoes, Artichokes, Kalamata Olives, Garlic, Asiago Cheese
66,Pepperoni, Mushrooms, Red Onions, Red Peppers,,,, Bacon
66,Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic,,, Oregano
67,Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce
68,Pepperoni, Mushrooms, Red Onions, Red Peppers,,,, Bacon
68,Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives,,, Garlic
68,Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives,,, Garlic
69,Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions,,, Barbecue Sauce
70,Eggplant, Artichokes, Tomatoes, Zucchini, Red Peppers, Garlic,, Pesto Sauce
70,Soppressata Salami, Fontina Cheese, Mozzarella Cheese, Mushrooms,,,, Garlic
71,Chicken, Pineapple, Tomatoes, Red Peppers,,,, Thai Sweet Chilli Sauce
72,Spinach, Mushrooms, Red Onions, Feta Cheese,,,, Garlic
73,Chicken, Pineapple, Tomatoes, Red Peppers,,,, Thai Sweet Chilli Sauce
74,Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese,,, Garlic
74,Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic
74,Spinach, Artichokes, Tomatoes, Sun-dried Tomatoes, Garlic,,, Pesto Sauce
74,Spinach, Red Onions, Pepperoni, Tomatoes, Artichokes, Kalamata Olives, Garlic, Asiago Cheese
75,Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives,,, Garlic
75,Spinach, Artichokes, Kalamata Olives, Sun-dried Tomatoes, Feta Cheese, Plum Tomatoes,, Red Onions
75,Tomatoes, Anchovies, Green Olives, Red Onions,,,, Garlic
76,Bacon, Pepperoni, Italian Sausage,,,,, Chorizo Sausage
76,Sliced Ham, Pineapple,,,,,, Mozzarella Cheese
76,Eggplant, Artichokes, Tomatoes, Zucchini, Red Peppers, Garlic,, Pesto Sauce
76,Capocollo, Tomatoes, Goat Cheese, Artichokes, Peperoncini verdi,,, Garlic
77,Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions,,, Barbecue Sauce
77,Sliced Ham, Pineapple,,,,,, Mozzarella Cheese
78,Bacon, Pepperoni, Italian Sausage,,,,, Chorizo Sausage
78,Pepperoni, Mushrooms, Red Onions, Red Peppers,,,, Bacon
78,Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese,,,, Garlic
78,Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic,,, Oregano
78,Capocollo, Tomatoes, Goat Cheese, Artichokes, Peperoncini verdi,,, Garlic
78,Chicken, Pineapple, Tomatoes, Red Peppers,,,, Thai Sweet Chilli Sauce
79,Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic,,, Oregano
79,Pepperoni, Mushrooms,,,,,, Green Peppers
79,Chicken, Pineapple, Tomatoes, Red Peppers,,,, Thai Sweet Chilli Sauce
80,Mozzarella Cheese,,,,,,, Pepperoni
80,Chicken, Pineapple, Tomatoes, Red Peppers,,,, Thai Sweet Chilli Sauce
81,Chicken, Pineapple, Tomatoes, Red Peppers,,,, Thai Sweet Chilli Sauce
82,Bacon, Pepperoni, Italian Sausage,,,,, Chorizo Sausage
82,Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese,, Gouda Cheese
82,Capocollo, Tomatoes, Goat Cheese, Artichokes, Peperoncini verdi,,, Garlic
82,Mushrooms, Tomatoes, Red Peppers, Green Peppers, Red Onions, Zucchini, Spinach, Garlic
83,Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce
84,Mozzarella Cheese,,,,,,, Pepperoni
85,Pepperoni, Mushrooms, Red Onions, Red Peppers,,,, Bacon
85,Pepperoni, Mushrooms, Red Onions, Red Peppers,,,, Bacon
85,Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives,,, Garlic
85,Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast,,, Red Onions
86,Sliced Ham, Pineapple,,,,,, Mozzarella Cheese
87,Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic,,, Oregano
87,Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic
87,Spinach, Red Onions, Pepperoni, Tomatoes, Artichokes, Kalamata Olives, Garlic, Asiago Cheese
87,Spinach, Red Onions, Pepperoni, Tomatoes, Artichokes, Kalamata Olives, Garlic, Asiago Cheese
88,Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese,,, Garlic
89,Soppressata Salami, Fontina Cheese, Mozzarella Cheese, Mushrooms,,,, Garlic
89,Chicken, Pineapple, Tomatoes, Red Peppers,,,, Thai Sweet Chilli Sauce
90,Coarse Sicilian Salami, Tomatoes, Green Olives, Luganega Sausage, Onions,,, Garlic
90,Chicken, Pineapple, Tomatoes, Red Peppers,,,, Thai Sweet Chilli Sauce
91,Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions,,, Barbecue Sauce
91,Chicken, Tomatoes, Red Peppers, Spinach, Garlic,,, Pesto Sauce
91,Mozzarella Cheese,,,,,,, Pepperoni
92,Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions,,, Barbecue Sauce
92,Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives,,, Garlic
92,Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives,,, Garlic
92,Eggplant, Artichokes, Tomatoes, Zucchini, Red Peppers, Garlic,, Pesto Sauce
92,Mozzarella Cheese,,,,,,, Pepperoni
92,Genoa Salami, Capocollo, Pepperoni, Tomatoes, Asiago Cheese,,, Garlic
92,Spinach, Mushrooms, Red Onions, Feta Cheese,,,, Garlic
92,Spinach, Red Onions, Pepperoni, Tomatoes, Artichokes, Kalamata Olives, Garlic, Asiago Cheese
92,Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast,,, Red Onions
93,Coarse Sicilian Salami, Tomatoes, Green Olives, Luganega Sausage, Onions,,, Garlic
94,Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic,,, Oregano
94,Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce
95,Tomatoes, Anchovies, Green Olives, Red Onions,,,, Garlic
95,Genoa Salami, Capocollo, Pepperoni, Tomatoes, Asiago Cheese,,, Garlic
96,Tomatoes, Anchovies, Green Olives, Red Onions,,,, Garlic
97,Bacon, Pepperoni, Italian Sausage,,,,, Chorizo Sausage
98,Pepperoni, Mushrooms, Red Onions, Red Peppers,,,, Bacon
98,Tomatoes, Anchovies, Green Olives, Red Onions,,,, Garlic
99,Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives,,, Garlic
100,Sliced Ham, Pineapple,,,,,, Mozzarella Cheese
101,Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese,, Gouda Cheese
101,Mozzarella Cheese,,,,,,, Pepperoni
101,Soppressata Salami, Fontina Cheese, Mozzarella Cheese, Mushrooms,,,, Garlic
101,Capocollo, Tomatoes, Goat Cheese, Artichokes, Peperoncini verdi,,, Garlic
102,Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions,,, Barbecue Sauce
102,Prosciutto di San Daniele, Arugula,,,,,, Mozzarella Cheese
103,Spinach, Red Onions, Pepperoni, Tomatoes, Artichokes, Kalamata Olives, Garlic, Asiago Cheese
104,Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions,,, Barbecue Sauce
104,Chicken, Red Onions, Red Peppers, Mushrooms, Asiago Cheese,,, Alfredo Sauce
104,Eggplant, Artichokes, Tomatoes, Zucchini, Red Peppers, Garlic,, Pesto Sauce
104,Mushrooms, Tomatoes, Red Peppers, Green Peppers, Red Onions, Zucchini, Spinach, Garlic
105,Sliced Ham, Pineapple,,,,,, Mozzarella Cheese
105,Mozzarella Cheese,,,,,,, Pepperoni
105,Prosciutto di San Daniele, Arugula,,,,,, Mozzarella Cheese
106,Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic
106,Capocollo, Tomatoes, Goat Cheese, Artichokes, Peperoncini verdi,,, Garlic
107,Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese,, Gouda Cheese
107,Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives,,, Garlic
107,Capocollo, Tomatoes, Goat Cheese, Artichokes, Peperoncini verdi,,, Garlic
107,Mushrooms, Tomatoes, Red Peppers, Green Peppers, Red Onions, Zucchini, Spinach, Garlic
108,Pepperoni, Mushrooms, Red Onions, Red Peppers,,,, Bacon
108,Sliced Ham, Pineapple,,,,,, Mozzarella Cheese
108,Spinach, Red Onions, Pepperoni, Tomatoes, Artichokes, Kalamata Olives, Garlic, Asiago Cheese
109,Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic,,, Oregano
109,Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives,,, Garlic
109,Mozzarella Cheese,,,,,,, Pepperoni
109,Prosciutto di San Daniele, Arugula,,,,,, Mozzarella Cheese
110,Bacon, Pepperoni, Italian Sausage,,,,, Chorizo Sausage
110,Tomatoes, Anchovies, Green Olives, Red Onions,,,, Garlic
110,Soppressata Salami, Fontina Cheese, Mozzarella Cheese, Mushrooms,,,, Garlic
110,Capocollo, Tomatoes, Goat Cheese, Artichokes, Peperoncini verdi,,, Garlic
111,Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese,, Gouda Cheese
111,Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese,,, Garlic
111,Mozzarella Cheese,,,,,,, Pepperoni
111,Spinach, Artichokes, Tomatoes, Sun-dried Tomatoes, Garlic,,, Pesto Sauce
112,Mozzarella Cheese,,,,,,, Pepperoni
113,Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese,, Gouda Cheese
113,Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic
113,Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce
114,Mozzarella Cheese,,,,,,, Pepperoni
114,Coarse Sicilian Salami, Tomatoes, Green Olives, Luganega Sausage, Onions,,, Garlic
115,Bacon, Pepperoni, Italian Sausage,,,,, Chorizo Sausage
115,Tomatoes, Anchovies, Green Olives, Red Onions,,,, Garlic
115,Chicken, Pineapple, Tomatoes, Red Peppers,,,, Thai Sweet Chilli Sauce
116,Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese,,, Garlic
117,Genoa Salami, Capocollo, Pepperoni, Tomatoes, Asiago Cheese,,, Garlic
117,Coarse Sicilian Salami, Tomatoes, Green Olives, Luganega Sausage, Onions,,, Garlic
118,Prosciutto di San Daniele, Arugula,,,,,, Mozzarella Cheese
118,Spinach, Mushrooms, Red Onions, Feta Cheese,,,, Garlic
119,Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese,,,, Garlic
120,Pepperoni, Mushrooms, Red Onions, Red Peppers,,,, Bacon
120,Sliced Ham, Pineapple,,,,,, Mozzarella Cheese
120,Spinach, Mushrooms, Red Onions, Feta Cheese,,,, Garlic
121,Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions,,, Barbecue Sauce
121,Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese,,,, Garlic
121,Coarse Sicilian Salami, Tomatoes, Green Olives, Luganega Sausage, Onions,,, Garlic
121,Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce
122,Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives,,, Garlic
123,Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic,,, Oregano
124,Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions,,, Barbecue Sauce
124,Coarse Sicilian Salami, Tomatoes, Green Olives, Luganega Sausage, Onions,,, Garlic
124,Capocollo, Tomatoes, Goat Cheese, Artichokes, Peperoncini verdi,,, Garlic
124,Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast,,, Red Onions
125,Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast,,, Red Onions
126,Mushrooms, Tomatoes, Red Peppers, Green Peppers, Red Onions, Zucchini, Spinach, Garlic
127,Mozzarella Cheese,,,,,,, Pepperoni
128,Capocollo, Tomatoes, Goat Cheese, Artichokes, Peperoncini verdi,,, Garlic
129,Bacon, Pepperoni, Italian Sausage,,,,, Chorizo Sausage
129,Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast,,, Red Onions
130,Sliced Ham, Pineapple,,,,,, Mozzarella Cheese
130,Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic,,, Oregano
130,Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic
130,Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce
